NO,GOVNO,정류장아이디,반대편정류장아이디,목적지방향성사용여부,정류장명(국문),정류장명(영문),경도(X),위도(Y),방향(Degree),주소(국문),주소(영문),구분,사용여부,등록일자,
8159,8,강내119,,N,석화1리경로당,Seokhwa 1-ri senior citizen center,127.360077,36.629887,305,충청북도 청주시 흥덕구 강내면 강내석화1길 16,"16 Gangnaeseokhwa 1-gil, Gangnae-myeon, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do",가상정류장,null,2024-06-10,강내
8160,8,강내120,,N,송우저수지[사곡리방면],Songwoo Reservoir [To Sagok-ri],127.336292,36.576001,156,충청북도 청주시 흥덕구 강내면 사곡리 508,"508 Sagok-ri, Gangnae-myeon, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do",기존정류장,null,2024-06-20,강내
8179,8,강내121,,N,사곡1리경로당,Sagok 1-risenior citizen center,127.330854,36.584749,350,충청북도 청주시 흥덕구 강내면 사곡1리지현길 13,"13 Sagok 1Rijihyeon-gil, Gangnae-myeon, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do",가상정류장,,2021-07-11,강내
8178,8,강내122,,N,저산리379-1,Jeosan-ri 379-1,127.356382,36.567953,90,충청북도 청주시 흥덕구 강내면 저산리 379-1,"379-1 Jeosan-ri, Gangnae-myeon, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do",가상정류장,,2021-07-11,강내
8177,8,강내123,,N,강내두진하트리움정문,Gangnae Dujin Hatrium main gate,127.370504,36.622026,8,충청북도 청주시 흥덕구 강내면 월곡리 433,"433 Wolgok-ri, Gangnae-myeon, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do",가상정류장,,2021-07-11,강내
8001,9,남이1,,N,사동리 노인정,Sadong-ri senior citizen center,127.416559,36.570146,290,청주시 서원구 남이면 사동리 24-2,"24-2, Sadong-ri, Nam-myeon, Seowon-gu",가상정류장,,2023-10-17,남이
8002,9,남이2,,N,비룡1리 경로당,Biryong 1-ri senior citizen center,127.3844,36.55629,60,청주시 서원구 남이면 비룡리 109,"109 Biryong-ri, Nam-myeon, Seowon-gu",가상정류장,,2023-10-17,남이
8003,9,남이3,남이11,Y,서원요양병원[석실방면],Seowon Nursing Hospital [to Seoksil],127.428315,36.58368,25,청주시 서원구 남이면 석실리 산 47-7,"47-7, Seoksil-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8004,9,남이4,남이47,Y,석실[석실방면],Seoksil[To seoksil],127.428926,36.5897,335,청주시 서원구 남이면 석실리 523,"523 Seoksil-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8005,9,남이5,남이10,Y,석실[석실리방면],Seoksil [to Seoksil-ri],127.428552,36.592189,330,청주시 서원구 남이면 석실리 222-5,"222-5, Seoksil-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
